"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BZ1","1","2KHz","","","","","~"
"C1","1","0.47uF X2 250VAC","","","","",""
"C2","1","1OOUf 25V","","","","","~"
"C3","1","2.2uf","","","","","~"
"D1","1","400v,47v","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf,~"
"D2,D3,D4","3","400 v,47V","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf,~"
"D2,D3","2","400 v","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D5","1","15V","","","","","~"
"ISO1","1","NEC PS2501L-1","","","","Package_DIP:DIP-4_W7.62mm","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf"
"J1","1","120V AC","","","","","~"
"Q1","1","BS170","","","","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BS170-D.PDF"
"R1","1","2.2k","","","","","~"
"R2","1","100K","","","","","~"
